iter	Logloss
0	0.5756307747
1	0.4982485721
2	0.4352230543
3	0.3889919029
4	0.3461376471
5	0.3180864831
6	0.3013979657
7	0.2841427051
8	0.2662786575
9	0.2524203802
10	0.2360611977
11	0.2285578712
12	0.219008351
13	0.2068361881
14	0.1981628994
15	0.1921995662
16	0.1853549527
17	0.1783566917
18	0.1697883576
19	0.16516646
20	0.1605734735
21	0.1582045458
22	0.1508576245
23	0.146100694
24	0.1336444099
25	0.1300072108
26	0.1265353467
27	0.1234989646
28	0.1204439012
29	0.1149373341
30	0.1126869456
31	0.1037155977
32	0.1028965475
33	0.09582507156
34	0.08907560534
35	0.08592400469
36	0.0853587422
37	0.08419800384
38	0.08141960291
39	0.07612133442
40	0.07564302127
41	0.0750619469
42	0.07287289475
43	0.06844857056
44	0.06365055841
45	0.05996462464
46	0.05656492377
47	0.05324907279
48	0.05094219857
49	0.04884400355
50	0.04829665276
51	0.04621028974
52	0.04482085079
53	0.04258328264
54	0.04213161225
55	0.04183314832
56	0.03945821099
57	0.03770909213
58	0.03599003315
59	0.0357135807
60	0.03333210826
61	0.03308354533
62	0.03196789984
63	0.03178847495
64	0.03061161693
65	0.02979024479
66	0.02857258593
67	0.02782473397
68	0.02662577763
69	0.02582749923
70	0.02571009178
71	0.02534789367
72	0.02422277976
73	0.02335359864
74	0.02280952091
75	0.02201485681
76	0.02161181477
77	0.02090338373
78	0.02016949535
79	0.02004437495
80	0.01994405044
81	0.01921086997
82	0.01900009235
83	0.0183286858
84	0.01829782618
85	0.01822302751
86	0.01757552215
87	0.01736987517
88	0.01676106581
89	0.01636860921
90	0.01630844556
91	0.01588772625
92	0.01570638703
93	0.01540734219
94	0.01537818534
95	0.01479539742
96	0.01475040598
97	0.01430468935
98	0.01399373746
99	0.01368575045
100	0.01351976253
101	0.01313408979
102	0.01310408405
103	0.01279163831
104	0.01253201965
105	0.0121879785
106	0.01187930331
107	0.01184149426
108	0.01165875729
109	0.01163138668
110	0.01133985063
111	0.01116543767
112	0.01100513229
113	0.01066004482
114	0.01045676001
115	0.01023975545
116	0.01006411185
117	0.01005103997
118	0.009734912955
119	0.00965450902
120	0.009634749446
121	0.009440931666
122	0.009309395763
123	0.009275195135
124	0.00915818376
125	0.009138036181
126	0.008972278401
127	0.00886483225
128	0.008777598828
129	0.008584834455
130	0.008567947389
131	0.008317807542
132	0.008101684142
133	0.007870433491
134	0.007711852423
135	0.007552581324
136	0.007408971897
137	0.007391159597
138	0.007303227743
139	0.007078172
140	0.007078172
141	0.007062256045
142	0.007047398423
143	0.00703328187
144	0.006899642772
145	0.006803969388
146	0.006659878836
147	0.006614509464
148	0.00650431294
149	0.006500775866
150	0.006488299322
151	0.00639910544
152	0.006367466863
153	0.006277429273
154	0.006205181244
155	0.006195882787
156	0.006114727941
157	0.006104640379
158	0.005996914289
159	0.005996501385
160	0.005926607926
161	0.005833290272
162	0.005833243633
163	0.005822500843
164	0.00576768947
165	0.005698449092
166	0.005626215574
167	0.005587037217
168	0.005551014561
169	0.005551005953
170	0.005541867722
171	0.005533068573
172	0.00552628967
173	0.005517931389
174	0.005431443979
175	0.00540353585
176	0.005364172329
177	0.005309169465
178	0.005222491161
179	0.005188374092
180	0.005158924194
181	0.005131828517
182	0.005127870526
183	0.005096825017
184	0.005040124989
185	0.004993959151
186	0.004932245919
187	0.004902529246
188	0.00487319208
189	0.004835432351
190	0.00477313638
191	0.004772921033
192	0.004772894165
193	0.004744836364
194	0.004738232447
195	0.004699518427
196	0.004692265098
197	0.004686734145
198	0.004686728938
199	0.004665434476
